time,intensity_400,intensity_402,intensity_404
0,0,0,0
0.00125,0,108.5115,0
0.0025,0,0,0
0.00375,0,0,0
0.005,0,0,0
0.00625,0.125,0,0
0.0075,0,0,0.125
0.00875,0,0,0
0.01,0,0,0
0.01125,0,0,0
0.0125,0,0,0
0.01375,0,0.125,0
0.015,0,0.125,0
0.01625,109.375,0,0
0.0175,0,0,0
0.01875,0,0,0
0.02,0,0,0
0.02125,0,0,112.569125
0.0225,0,0,0
0.02375,0,0,0.125
0.025,0,0,0.125
0.02625,0,0,0
0.0275,0,0,0
0.02875,0,0,0
0.03,0,0,0
0.03125,0.125,0,0
0.0325,0,0,0.125
0.03375,0,0,0
0.035,0,113.472,0
0.03625,0,0,0
0.0375,0,0,0
0.03875,0.125,0,0
0.04,0,0,0
0.04125,0,0,0
0.0425,0,0,0.125
0.04375,0,0,0
0.045,0.125,0,0
0.04625,0,0.125,0
0.0475,0,0,0
0.04875,0,0,0
0.05,114.375,0,0
0.05125,0.125,0,0
0.0525,0,0,0
0.05375,0,0,0
0.055,0,0,118.10525
0.05625,0,0,0
0.0575,0.375,0,0
0.05875,0,0,0
0.06,0,0,0.125
0.06125,0.125,0,0
0.0625,0,0,0.125
0.06375,0,0,0
0.065,0,0,0
0.06625,0,0,0
0.0675,0,0,0
0.06875,0,119.052625,0
0.07,0.125,0,0
0.07125,0,0.125,0.125
0.0725,0,0,0
0.07375,0,0,0.125
0.075,0,0,0
0.07625,0,0,0
0.0775,0,0,0
0.07875,0,0.125,0
0.08,0,0,0
0.08125,0,0,0
0.0825,0,0,0
0.08375,120,0,0
0.085,0,0,0.125
0.08625,0.125,0,0
0.0875,0,0,0
0.08875,0,0,120.31975
0.09,0,0,0
0.09125,0,0,0
0.0925,0,0,0
0.09375,0,0,0.125
0.095,0,0,0
0.09625,0,0,0
0.0975,0.125,0,0
0.09875,0,0,0
0.1,0,0.125,0
0.10125,0,0,0
0.1025,0,121.284875,0
0.10375,0,0,0
0.105,0,0.125,0.125
0.10625,0,0,0
0.1075,0,0,0
0.10875,0,0,0
