time,intensity_400,intensity_600,intensity_800
0,0,0.625,0.925
0.01,0.125,0,0.053125
0.02,0,0.125,0.10625
0.03,0,0.125,0.178125
0.04,0.125,0.321875,0.375
0.05,0.125,0.565625,0.375
0.06,0.25,0.2625,0.375
0.07,0,0.7875,0.375
0.08,0.125,0.971875,0.25
0.09,0,1.246875,0.25
0.1,0,1.175,0.125
0.11,0,2.86875,0.125
0.12,0.125,1.95625,0.375
0.13,0.125,0.978125,0.25
0.14,0.125,1.628125,0
0.15,0,0.846875,0.25
0.16,0,1.496875,0.25
0.17,0.125,0.525,0
0.18,0,0.065625,0.25
0.19,0,0.25625,0.5
0.2,0,0.065625,0.125
0.21,0,0.5,0.375
0.22,0,0.125,0.25
0.23,0,0.125,0.875
0.24,0,0.375,0.25
0.25,0,0,0.5
0.26,0,0.25,0.125
0.27,0.125,0,0.5
0.28,0,0.5,0
0.29,0,0.125,0.5
0.3,0,0.25,0.25
0.31,0,0.375,0.625
0.32,0.125,0.125,0.25
0.33,0,0.125,0.125
0.34,0,0.5,0.375
0.35,0,0.125,0.25
0.36,0,0.625,0.25
0.37,0,0.125,0.5
0.38,0.125,0.125,0
0.39,0,0.125,0.25
0.4,0.125,0.25,0.25
0.41,0.125,0.25,0.125
0.42,0.125,0.375,0.25
0.43,0,0,0.25
0.44,0.125,0.25,0.5
0.45,0,0.375,0.25
0.46,0,0.375,0
0.47,0,0.25,0.375
0.48,0,0,0.5
0.49,0.125,0.125,0
0.5,0.125,0.125,0.5
0.51,0.25,0.25,0.25
0.52,0,0.375,0
0.53,0,0.125,0.5
0.54,0.5,0.25,0.375
0.55,0.625,0.25,0.125
0.56,0.5,0.25,0.5
0.57,1.5,0.375,0.75
0.58,1.5,0,0.25
0.59,2.375,0.25,0.625
0.6,2.125,0.375,0.375
0.61,4.75,0.125,0.375
0.62,3.25,0.25,0.25
0.63,1.625,0,0
0.64,2.625,0,0.625
0.65,1.375,0,0.25
0.66,2.375,0.125,0.75
0.67,1.125,0.5,0.125
0.68,0.125,0.125,0.375
0.69,0.25,0,0.625
0.7,0.25,0.25,0.5
0.71,0,0,0.125
0.72,0.125,0,0.375
0.73,0.25,0,0.25
0.74,0,0.25,0.5
0.75,0.125,0.25,0.5
