time,intensity_800,intensity_1200,intensity_1400
0,1.390625,3.25,3
0.04,0.375,1.5,2.75
0.08,0.625,3.5,3.125
0.12,0.25,2.625,2.5
0.16,0.375,2.25,2.875
0.2,1,2,3.375
0.24,0.875,2.125,3
0.28,0.75,2.875,3.25
0.32,1,2.25,3.875
0.36,1.25,2.75,3.5
0.4,0.625,3.5,3.375
0.44,1.25,3.25,3.5
0.48,1.25,2.375,3
0.52,1.125,2.375,2.625
0.56,0.625,2.25,3.25
0.6,0.625,2.625,4.5
0.64,1.125,2.25,3
0.68,1,2.375,1.125
0.72,1.125,2.25,1.875
0.76,0.625,2.625,2.875
0.8,0.5,2.125,2.5
0.84,1.25,3.25,2
0.88,0.5,2.375,2.625
0.92,0.875,3.125,3.125
0.96,0.5,2.334375,2.296875
1,0.625,2.5375,2.8125
1.04,0.25,5.36875,4.84375
1.08,0.909375,3.796875,3.484375
1.12,2.4875,3.084375,2.546875
1.16,6.29375,2.5,2.625
1.2,3.796875,1.375,2
1.24,1.159375,2.375,3.125
1.28,0.375,2.625,3.375
1.32,1,2.375,3.125
1.36,0.625,2.875,2.25
1.4,0.5,1.625,2.25
1.44,0.875,1.5,3
1.48,0.875,2.375,2.625
1.52,0.625,1.875,2.25
1.56,0.875,1.5,3.25
1.6,0.625,2,3.125
1.64,0.625,2.5,3.5
1.68,1.25,1.875,2.75
1.72,0.75,3.125,3
1.76,1.125,2.375,2.5
1.8,0.5,2.25,3
1.84,0.625,1.875,3.5
1.88,0.125,2.625,2.75
1.92,0.25,2.125,3.875
1.96,1.125,2.375,3.25
2,0.75,1.375,3.25
2.04,0.875,1.5,2.375
2.08,1.125,2.625,2.625
2.12,1.375,2.5,2.75
2.16,0.375,2.375,1.375
2.2,1,2.653125,2.390625
2.24,1.125,3.203125,3.265625
2.28,0.25,5.3125,4.3125
2.32,1.303125,4.50625,3.65625
2.36,1.953125,2.4875,3.1875
2.4,5.9375,2.5,2.25
2.44,4.70625,1.875,2.5
2.48,1.3375,1.875,2.75
2.52,0.25,0.75,2.625
2.56,1.125,1.125,3.25
