time,intensity_400,intensity_600,intensity_800
0,0.125,0.125,0
0.005,0.125,0,0.25
0.01,0,0.216625,0.25
0.015,0.125,10.779125,0.125
0.02,0,5.8125,0.125
0.025,0.25,0.125,0.125
0.03,0,0.375,0.25
0.035,0,0,0.375
0.04,0.125,0.125,0.25
0.045,0,0.125,0.125
0.05,0,0,0
0.055,0.125,0,0
0.06,0.125,0,0.125
0.065,0,0.5,0.125
0.07,0,0,0.125
0.075,2.125,0,0.125
0.08,27,0,0
0.085,7.875,0,0.125
0.09,0.125,0,0.25
0.095,0.125,0,0.375
0.1,0,0,0.125
0.105,0,0,0.125
0.11,0.125,0.125,0.5
0.115,0.125,0.25,0.125
0.12,0,0,0.25
0.125,0.125,0.25,0.125
0.13,0,0.25,0
0.135,0,0.125,0.125
0.14,0,0,0.297875
0.145,0,0,8.425
0.15,0,0.125,4.66875
0.155,0,0.125,0
0.16,0,0.625,0.125
0.165,0,0.125,0.25
0.17,0,0.125,0.25
0.175,0,0.125,0.25
0.18,0,5.558375,0.375
0.185,0.125,10.2375,0.125
0.19,0,0.45,0
0.195,0,0.25,0
0.2,0,0.125,0.125
0.205,0,0.25,0
0.21,0.125,0,0
0.215,0.125,0.25,0.25
0.22,0,0.25,0.125
0.225,0.125,0,0.125
0.23,0,0.375,0.125
0.235,0,0,0.125
0.24,0.125,0,0.25
0.245,16.5,0.125,0.25
0.25,21.875,0.125,0.125
0.255,0.25,0.125,0.375
0.26,0,0,0.125
0.265,0,0,0.25
0.27,0,0.25,0.25
0.275,0,0.25,0.375
0.28,0,0.25,0.5
0.285,0,0.125,0.125
0.29,0,0.25,0
0.295,0,0.125,0.25
0.3,0,0.125,0.125
0.305,0,0.125,0.25
0.31,0,0,3.578625
0.315,0,0,9.453125
0.32,0.125,0.375,0.129625
0.325,0,0,0
0.33,0,0.375,0.25
0.335,0,0,0.25
0.34,0.125,0,0.125
0.345,0,1.895875,0.125
0.35,0,12.583375,0.25
0.355,0,1.570875,0
0.36,0.125,0.125,0.125
0.365,0.125,0.125,0.25
0.37,0.125,0.25,0
0.375,0.25,0.125,0.125
0.38,0,0,0.125
0.385,0,0.125,0
0.39,0,0.75,0.125
0.395,0,0,0
0.4,0.125,0,0.125
0.405,0,0,0.125
0.41,5.625,0,0.25
0.415,27.125,0,0.25
0.42,2.125,0.25,0.125
0.425,0.125,0.25,0.25
0.43,0,0.125,0.125
0.435,0,0.125,0
0.44,0,0.25,0.125
0.445,0,0.375,0
0.45,0,0.125,0.125
0.455,0.125,0,0
0.46,0.125,0,0
0.465,0,0,0
0.47,0,0.125,0.125
0.475,0.125,0,1.249
0.48,0,0.125,11.2255
0.485,0,0,1.94525
0.49,0,0,0.125
0.495,0,0.375,0.125
0.5,0,0.125,0
0.505,0.25,0,0.25
0.51,0,0.216625,0.125
0.515,0,10.65,0
0.52,0,6.1,0.125
0.525,0,0.125,0.25
0.53,0,0.125,0.125
0.535,0.125,0.125,0.125
0.54,0,0,0
0.545,0.125,0,0.25
0.55,0,0,0
0.555,0,0.375,0
0.56,0,0.125,0
0.565,0,0,0.25
0.57,0,0,0.375
0.575,1,0.125,0.125
0.58,28.75,0.125,0.125
0.585,8.125,0,0.25
0.59,0,0.375,0.25
0.595,0,0.125,0.125
0.6,0.125,0.25,0.25
0.605,0,0.375,0.25
0.61,0,0.125,0.125
0.615,0,0,0.25
0.62,0,0.125,0
0.625,0,0.25,0.25
0.63,0,0,0
0.635,0,0,0
0.64,0,0.125,0.16825
0.645,0,0,7.7765
0.65,0.25,0.375,5.18275
0.655,0,0.125,0.125
0.66,0,0.375,0.125
0.665,0,0,0.125
0.67,0.125,0.375,0.125
0.675,0,0,0.125
0.68,0,4.170875,0.125
0.685,0,11.75,0
0.69,0,0.5375,0
0.695,0,0.25,0.125
0.7,0,0,0.125
0.705,0.25,0.125,0.125
0.71,0,0,0.25
0.715,0.125,0.375,0.25
0.72,0,0.125,0.125
0.725,0.375,0,0.125
0.73,0.125,0.125,0.125
0.735,0,0.125,0.25
0.74,0.25,0,0
0.745,14.5,0,0.125
0.75,24.375,0,0.125
0.755,0.125,0.375,0.125
