time,intensity_400,intensity_600,intensity_800
0,0.125,1.125,1.25
0.04,0.375,0.5,1.5
0.08,0.5,1.375,0.75
0.12,0.25,0.75,0.75
0.16,0.375,0.75,1.75
0.2,0.25,0.75,1.375
0.24,0.125,1.125,1.75
0.28,0.125,1,0.625
0.32,0.25,1.125,1.5
0.36,0.375,0.25,0.875
0.4,0.125,0.875,1.25
0.44,0.75,0.75,2
0.48,0.25,0.375,0.75
0.52,0.25,0.875,1.375
0.56,0.5,1.75,2.125
0.6,0,0.875,1
0.64,0.125,1.625,1.375
0.68,0.5,0.375,1.5
0.72,2.625,1.125,1.125
0.76,4.5,0.75,1.25
0.8,0.625,0.75,0.5
0.84,0.5,0.625,3.0195
0.88,0.625,0.75,5.793
0.92,0.625,1.125,2.2555
0.96,0.5,0.75,1.125
1,0,1.25,1.875
1.04,0.25,1,1.625
1.08,0.125,0.5,1.625
1.12,0.5,1,0.875
1.16,0.375,0.875,1.75
1.2,0.375,2.763875,1.625
1.24,0.375,6.236125,1.125
1.28,0.125,1.361125,2.625
1.32,0.5,0.625,0.375
1.36,0.25,1.125,1
1.4,0.125,0.75,1.125
1.44,0.25,0.625,1.25
1.48,0.25,1.125,0.75
1.52,0.5,1.375,0.875
1.56,0.125,0.875,1.5
1.6,0.125,1.125,1.375
1.64,0.125,0.875,1.25
1.68,0.25,0.375,1
1.72,0.125,1.25,1
1.76,0.125,0.875,1.375
1.8,0.25,1.375,1.25
1.84,0.125,1,1.5
1.88,0.125,0.625,1.625
1.92,0.375,1.25,1.25
1.96,0.75,1.5,1.75
2,0.625,0.75,1.75
2.04,0.25,1,1
2.08,0.5,0.375,1.375
2.12,0.25,1.25,2.625
2.16,0.25,1.5,1
2.2,0.125,0.375,0.75
2.24,2.375,0.75,1.375
2.28,4,1,0.875
2.32,0.75,1,1.125
2.36,0.375,1.25,3.020875
2.4,0.375,1.5,3.279125
2.44,0.5,2,1.87775
2.48,0.375,0.5,0.75
2.52,0.625,0.625,1
2.56,0.5,0.75,1.125
2.6,0.75,0.75,0.875
2.64,0.25,0.375,1.375
2.68,0.25,0.5,1.375
2.72,0.125,3.291625,1.5
2.76,0.25,3.708375,1.625
2.8,0.375,1.1805,1.25
2.84,0.125,0.875,1
2.88,0.375,0.75,0.625
2.92,0.5,0.625,1.625
2.96,0.25,0.875,1.125
3,0.625,0.875,1.5
3.04,0.375,0.875,2
3.08,0.5,1.25,1.625
3.12,0.125,0.625,0.75
3.16,0.625,0.75,1.625
3.2,0.375,1.125,1.75
3.24,0.25,0.5,0.875
3.28,0.125,1,1
3.32,0.25,0.75,1.875
3.36,0.125,0.5,1.25
3.4,0.75,1.75,0.875
3.44,0.5,0.5,1.375
3.48,0.125,0.875,1.375
3.52,0.25,0.5,1.375
3.56,0,1,1.25
3.6,0.625,1.375,1.25
3.64,0.625,1.125,1
3.68,0.125,1,1.375
3.72,0.375,0.625,1.375
3.76,2.125,1.125,1.375
3.8,2.75,1,1.5
3.84,0.375,0.875,1.125
3.88,0.125,0.25,2.011125
3.92,0.125,1.375,7.05975
3.96,0.25,1,1.886125
4,0.125,0.875,1.376375
4.04,0.25,0.75,1.75
4.08,0.625,0.875,1.5
4.12,0.375,0.75,1.5
4.16,0.5,0.625,1.875
4.2,0.375,0.375,1.25
4.24,0.5,1.72225,1.5
4.28,0.375,6.9445,0.875
4.32,0.125,2.22225,2
4.36,0.5,0.77775,1.375
4.4,0.125,0.625,1.375
4.44,0.375,0.5,1.25
4.48,0,0.875,0.5
4.52,0.5,0.375,2
4.56,0,0.375,1.125
4.6,0.125,0.5,1.25
